time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
236.000,40,1,0,2,37.69,22.00,25.00,0,a3
237.000,11,1,0,2,40.86,22.00,25.00,0,a3
238.000,8,36,0,37,38.78,22.00,25.00,0,a3
238.000,11,37,0,38,39.40,22.00,25.00,0,a3
238.000,22,1,0,2,34.86,22.00,25.00,0,a3
238.000,25,37,0,38,48.69,25.00,28.00,1,a3
239.000,11,37,0,38,35.68,22.00,25.00,0,a3
239.000,25,37,0,38,48.98,25.00,28.00,1,a3
240.000,11,37,0,38,39.68,22.00,25.00,0,a3
241.000,11,1,0,2,36.49,22.00,25.00,0,a3
241.000,22,1,0,2,36.39,22.00,25.00,0,a3
241.000,40,36,0,37,35.30,22.00,25.00,0,a3
242.000,11,1,0,2,32.85,22.00,25.00,0,a3
242.000,22,1,0,2,37.13,22.00,25.00,0,a3
243.000,22,1,0,2,41.14,22.00,25.00,1,a3
