time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
408.000,39,2,37,1,36,0,0,tte-aware,-4.09,0.10,49.44,29.00,1,0,61.657748,7.729151,0.0,static,49.8,32.4,
410.000,17,2,37,1,36,0,0,tte-aware,-4.70,-0.10,51.48,261.00,1,0,51.176763,1.813066,32.8,vehicular,44.6,35.6,
413.000,27,38,1,37,0,0,0,tte-aware,-0.45,2.74,64.79,274.00,1,0,29.085409,-2.676930,0.0,static,51.7,50.4,
415.000,1,2,37,1,36,0,0,tte-aware,-5.55,0.22,52.87,17.00,1,0,64.968718,-5.845737,2.3,pedestrian,32.1,34.8,
415.000,21,2,37,1,36,0,0,tte-aware,-1.23,4.10,46.79,15.00,1,0,62.631487,3.061547,35.4,vehicular,48.8,36.4,
416.000,7,1,38,0,37,0,0,tte-aware,-2.48,0.65,50.91,18.00,1,0,32.902036,-2.622221,0.0,static,34.1,32.6,
419.000,41,1,38,0,37,0,0,tte-aware,-6.46,-3.13,53.93,16.00,1,0,28.817347,-10.263959,0.9,pedestrian,28.9,36.1,
420.000,34,38,1,37,0,0,0,tte-aware,-7.18,-4.49,44.58,323.00,1,0,31.378698,-10.217558,79.9,hst,29.6,25.6,
423.000,4,48,2,47,1,0,0,tte-aware,-14.05,-3.92,42.99,273.00,1,0,62.679749,26.867784,36.1,vehicular,17.2,22.1,
423.000,39,37,2,36,1,0,0,tte-aware,-5.22,4.75,71.09,15.00,1,0,61.657748,7.729151,0.0,static,30.7,55.1,
426.000,17,37,2,36,1,0,0,tte-aware,-3.39,0.86,58.56,16.00,1,0,51.180065,1.818421,32.8,vehicular,38.6,40.0,
427.000,28,37,2,36,1,0,0,tte-aware,-5.35,2.36,56.20,24.00,1,0,63.706717,-3.300869,0.0,static,36.2,41.5,
430.000,21,37,2,36,1,0,0,tte-aware,-2.24,4.50,70.87,15.00,1,0,62.629972,3.071396,35.4,vehicular,33.7,54.2,
431.000,7,38,1,37,0,0,0,tte-aware,-4.07,0.27,54.64,15.00,1,0,32.902036,-2.622221,0.0,static,29.5,37.5,
