time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
158.000,39,2,0,3,33.44,22.00,25.00,1,location
159.000,4,2,0,3,37.74,22.00,25.00,0,location
159.000,11,1,0,2,39.94,22.00,25.00,0,location
159.000,21,36,0,37,42.75,22.00,25.00,0,location
159.000,44,1,0,2,33.49,18.00,21.00,0,location
160.000,21,36,0,37,43.60,22.00,25.00,0,location
160.000,39,36,0,37,34.34,22.00,25.00,0,location
161.000,4,2,0,3,31.85,22.00,25.00,0,location
161.000,21,36,0,37,37.81,22.00,25.00,0,location
161.000,35,1,0,2,32.63,22.00,25.00,0,location
162.000,4,2,0,3,35.26,22.00,25.00,0,location
162.000,35,1,0,2,41.03,22.00,25.00,1,location
162.000,39,36,0,37,36.05,22.00,25.00,0,location
162.000,44,1,0,2,34.70,22.00,25.00,0,location
163.000,0,2,0,3,32.92,22.00,25.00,0,location
163.000,4,2,0,3,32.69,22.00,25.00,0,location
163.000,21,36,0,37,42.46,22.00,25.00,0,location
164.000,26,1,0,2,47.97,25.00,28.00,1,location
164.000,39,36,0,37,35.82,22.00,25.00,0,location
164.000,44,1,0,2,33.00,22.00,25.00,0,location
165.000,39,36,0,37,35.22,22.00,25.00,0,location
165.000,44,1,0,2,33.76,22.00,25.00,0,location
166.000,26,37,0,38,52.31,25.00,28.00,0,location
166.000,44,1,0,2,40.08,22.00,25.00,0,location
167.000,26,37,0,38,50.05,25.00,28.00,1,location
168.000,44,1,0,2,36.91,22.00,25.00,1,location
170.000,0,2,0,3,35.63,22.00,25.00,0,location
170.000,21,36,0,37,42.95,22.00,25.00,0,location
171.000,0,2,0,3,37.75,22.00,25.00,0,location
171.000,21,36,0,37,45.79,22.00,25.00,0,location
171.000,32,1,0,2,34.11,22.00,25.00,0,location
171.000,39,36,0,37,39.98,22.00,25.00,0,location
172.000,20,1,0,2,34.92,18.00,21.00,0,location
172.000,21,36,0,37,46.51,22.00,25.00,0,location
172.000,32,1,0,2,32.52,22.00,25.00,0,location
172.000,39,36,0,37,38.74,22.00,25.00,0,location
173.000,8,1,0,2,35.44,18.00,21.00,0,location
173.000,32,1,0,2,39.46,22.00,25.00,0,location
173.000,39,36,0,37,29.51,22.00,25.00,0,location
174.000,21,36,0,37,47.33,22.00,25.00,0,location
175.000,11,1,0,2,37.02,22.00,25.00,0,location
175.000,21,36,0,37,42.37,22.00,25.00,1,location
176.000,39,36,0,37,37.82,22.00,25.00,0,location
177.000,11,1,0,2,34.66,22.00,25.00,0,location
177.000,26,1,0,2,51.57,25.00,28.00,1,location
178.000,8,1,0,2,33.91,22.00,25.00,0,location
178.000,32,1,0,2,38.51,22.00,25.00,0,location
178.000,39,36,0,37,37.34,22.00,25.00,0,location
179.000,11,1,0,2,40.62,22.00,25.00,0,location
179.000,39,36,0,37,33.65,22.00,25.00,0,location
181.000,11,1,0,2,35.60,22.00,25.00,0,location
181.000,39,36,0,37,35.44,22.00,25.00,0,location
182.000,25,1,0,2,58.35,25.00,28.00,1,location
182.000,32,1,0,2,37.37,22.00,25.00,0,location
182.000,39,36,0,37,39.08,22.00,25.00,0,location
183.000,32,1,0,2,35.30,22.00,25.00,0,location
183.000,39,36,0,37,42.35,22.00,25.00,0,location
185.000,15,37,0,38,33.73,22.00,25.00,0,location
185.000,20,1,0,2,31.49,22.00,25.00,0,location
185.000,26,37,0,38,41.71,25.00,28.00,1,location
186.000,3,37,0,38,26.02,22.00,25.00,1,location
186.000,8,1,0,2,33.81,22.00,25.00,0,location
186.000,9,1,0,2,33.66,22.00,25.00,0,location
186.000,11,1,0,2,33.83,22.00,25.00,0,location
186.000,39,36,0,37,48.84,22.00,25.00,0,location
187.000,8,1,0,2,30.80,22.00,25.00,1,location
187.000,9,1,0,2,34.05,22.00,25.00,0,location
187.000,11,1,0,2,39.14,22.00,25.00,1,location
187.000,15,37,0,38,39.09,22.00,25.00,0,location
187.000,20,1,0,2,28.54,22.00,25.00,0,location
187.000,39,36,0,37,43.69,22.00,25.00,0,location
188.000,9,1,0,2,38.10,22.00,25.00,0,location
188.000,11,37,0,38,42.94,22.00,25.00,0,location
188.000,15,37,0,38,33.04,22.00,25.00,1,location
188.000,20,1,0,2,34.64,22.00,25.00,0,location
188.000,32,1,0,2,37.77,22.00,25.00,0,location
189.000,9,1,0,2,36.50,22.00,25.00,0,location
189.000,11,37,0,38,44.81,22.00,25.00,0,location
189.000,25,37,0,38,55.86,25.00,28.00,1,location
189.000,32,1,0,2,36.61,22.00,25.00,1,location
189.000,39,36,0,37,41.86,22.00,25.00,0,location
190.000,3,1,0,2,36.53,22.00,25.00,0,location
190.000,9,1,0,2,34.82,22.00,25.00,0,location
190.000,11,37,0,38,44.23,22.00,25.00,1,location
190.000,39,36,0,37,39.61,22.00,25.00,1,location
190.000,40,1,0,2,35.84,18.00,21.00,0,location
